company,role
Tyson Foods,President
Morningstar,CEO
Morningstar,CIO
Morningstar,CTO
Morningstar,CISO
Morningstar,COO
Morningstar,President
Bloomberg,CEO
Bloomberg,CIO
Bloomberg,CTO
Bloomberg,CISO
Bloomberg,COO
Bloomberg,President
Acer,CEO
Acer,CIO
Acer,CTO
Acer,CISO
Acer,COO
Acer,President
Bayer,CEO
Bayer,CIO
Bayer,CTO
Bayer,CISO
Bayer,COO
Bayer,President
Delta Air Lines,CEO
Delta Air Lines,CIO
Delta Air Lines,CTO
Delta Air Lines,CISO
Delta Air Lines,COO
Delta Air Lines,President
WeWork,CEO
WeWork,CIO
WeWork,CTO
WeWork,CISO
WeWork,COO
WeWork,President
S&P Global,CEO
S&P Global,CIO
S&P Global,CTO
S&P Global,CISO
S&P Global,COO
S&P Global,President
Nutanix,CEO
Nutanix,CIO
Nutanix,CTO
Nutanix,CISO
Nutanix,COO
Nutanix,President
Lockheed Martin,CEO
Lockheed Martin,CIO
Lockheed Martin,CTO
Lockheed Martin,CISO
Lockheed Martin,COO
Lockheed Martin,President
Qantas,CEO
Qantas,CIO
Qantas,CTO
Qantas,CISO
Qantas,COO
Qantas,President
Kia,CEO
Kia,CIO
Kia,CTO
Kia,CISO
Kia,COO
Kia,President
Zoom,CEO
Zoom,CIO
Zoom,CTO
Zoom,CISO
Zoom,COO
Zoom,President
Stellantis,CEO
Stellantis,CIO
Stellantis,CTO
Stellantis,CISO
Stellantis,COO
Stellantis,President
Sprinklr,CEO
Sprinklr,CIO
Sprinklr,CTO
Sprinklr,CISO
Sprinklr,COO
Sprinklr,President
Kakao,CEO
Kakao,CIO
Kakao,CTO
Kakao,CISO
Kakao,COO
Kakao,President
Github,CEO
Github,CIO
Github,CTO
Github,CISO
Github,COO
Github,President
MongoDB,CEO
MongoDB,CIO
MongoDB,CTO
MongoDB,CISO
MongoDB,COO
MongoDB,President
American Airlines,CEO
American Airlines,CIO
American Airlines,CTO
American Airlines,CISO
American Airlines,COO
American Airlines,President
Akamai,CEO
Akamai,CIO
Akamai,CTO
Akamai,CISO
Akamai,COO
Akamai,President
Wayfair,CEO
Wayfair,CIO
Wayfair,CTO
Wayfair,CISO
Wayfair,COO
Wayfair,President
ASUS,CEO
ASUS,CIO
ASUS,CTO
ASUS,CISO
ASUS,COO
ASUS,President
Huawei,CEO
Huawei,CIO
Huawei,CTO
Huawei,CISO
Huawei,COO
Huawei,President
BASF,CEO
BASF,CIO
BASF,CTO
BASF,CISO
BASF,COO
BASF,President
Infosys,CEO
Infosys,CIO
Infosys,CTO
Infosys,CISO
Infosys,COO
Infosys,President
WeTransfer,CEO
WeTransfer,CIO
WeTransfer,CTO
WeTransfer,CISO
WeTransfer,COO
WeTransfer,President
PayPal,CEO
PayPal,CIO
PayPal,CTO
PayPal,CISO
PayPal,COO
PayPal,President
Slack,CEO
Slack,CIO
Slack,CTO
Slack,CISO
Slack,COO
Slack,President
Fortinet,CEO
Fortinet,CIO
Fortinet,CTO
Fortinet,CISO
Fortinet,COO
Fortinet,President
Vale,CEO
Vale,CIO
Vale,CTO
Vale,CISO
Vale,COO
Vale,President
Dell Technologies,CEO
Dell Technologies,CIO
Dell Technologies,CTO
Dell Technologies,CISO
Dell Technologies,COO
Dell Technologies,President
SentinelOne,CEO
SentinelOne,CIO
SentinelOne,CTO
SentinelOne,CISO
SentinelOne,COO
SentinelOne,President
Lazada,CEO
Lazada,CIO
Lazada,CTO
Lazada,CISO
Lazada,COO
Lazada,President
Revolut,CEO
Revolut,CIO
Revolut,CTO
Revolut,CISO
Revolut,COO
Revolut,President
JD.com,CEO
JD.com,CIO
JD.com,CTO
JD.com,CISO
JD.com,COO
JD.com,President
Citrix,CEO
Citrix,CIO
Citrix,CTO
Citrix,CISO
Citrix,COO
Citrix,President
Riot Games,CEO
Riot Games,CIO
Riot Games,CTO
Riot Games,CISO
Riot Games,COO
Riot Games,President
Zoho,CEO
Zoho,CIO
Zoho,CTO
Zoho,CISO
Zoho,COO
Zoho,President
Orange,CEO
Orange,CIO
Orange,CTO
Orange,CISO
Orange,COO
Orange,President
eBay,CEO
eBay,CIO
eBay,CTO
eBay,CISO
eBay,COO
eBay,President
Baidu,CEO
Baidu,CIO
Baidu,CTO
Baidu,CISO
Baidu,COO
Baidu,President
Gilead Sciences,CEO
Gilead Sciences,CIO
Gilead Sciences,CTO
Gilead Sciences,CISO
Gilead Sciences,COO
Gilead Sciences,President
Emirates,CEO
Emirates,CIO
Emirates,CTO
Emirates,CISO
Emirates,COO
Emirates,President
Check Point,CEO
Check Point,CIO
Check Point,CTO
Check Point,CISO
Check Point,COO
Check Point,President
Elastic,CEO
Elastic,CIO
Elastic,CTO
Elastic,CISO
Elastic,COO
Elastic,President
HubSpot,CEO
HubSpot,CIO
HubSpot,CTO
HubSpot,CISO
HubSpot,COO
HubSpot,President
Accenture,CEO
Accenture,CIO
Accenture,CTO
Accenture,CISO
Accenture,COO
Accenture,President
SK Hynix,CEO
SK Hynix,CIO
SK Hynix,CTO
SK Hynix,CISO
SK Hynix,COO
SK Hynix,President
Valve,CEO
Valve,CIO
Valve,CTO
Valve,CISO
Valve,COO
Valve,President
AWS,CEO
AWS,CIO
AWS,CTO
AWS,CISO
AWS,COO
AWS,President
Bandai Namco,CEO
Bandai Namco,CIO
Bandai Namco,CTO
Bandai Namco,CISO
Bandai Namco,COO
Bandai Namco,President
